authorshipnumber,articlenumber,journal,volume,issue,startpage,pubyear,pubmonth,receiveddate,title,link1,link2,last,first,middle,position
1649,215,Ophthalmology,125,3,340,2018,3,23-Jul-17,Ultrastructural Integrity of Human Capsulotomies Created by a Thermal Device.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29074029,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29074029&id=doi:10.1016%2Fj.ophtha.2017.09.018&issn=0161-6420&isbn=&volume=125&issue=3&spage=340&date=2018&title=Ophthalmology&atitle=Ultrastructural+Integrity+of+Human+Capsulotomies+Created+by+a+Thermal+Device.&aulast=Hooshmand&pid=%3CAN%3E29074029%3C%2FAN%3E,Abell,Robin,G,m
1650,215,Ophthalmology,125,3,340,2018,3,23-Jul-17,Ultrastructural Integrity of Human Capsulotomies Created by a Thermal Device.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29074029,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29074029&id=doi:10.1016%2Fj.ophtha.2017.09.018&issn=0161-6420&isbn=&volume=125&issue=3&spage=340&date=2018&title=Ophthalmology&atitle=Ultrastructural+Integrity+of+Human+Capsulotomies+Created+by+a+Thermal+Device.&aulast=Hooshmand&pid=%3CAN%3E29074029%3C%2FAN%3E,Goemann,Karsten,,m
1651,215,Ophthalmology,125,3,340,2018,3,23-Jul-17,Ultrastructural Integrity of Human Capsulotomies Created by a Thermal Device.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29074029,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29074029&id=doi:10.1016%2Fj.ophtha.2017.09.018&issn=0161-6420&isbn=&volume=125&issue=3&spage=340&date=2018&title=Ophthalmology&atitle=Ultrastructural+Integrity+of+Human+Capsulotomies+Created+by+a+Thermal+Device.&aulast=Hooshmand&pid=%3CAN%3E29074029%3C%2FAN%3E,Davies,Peter,E J,m
1652,215,Ophthalmology,125,3,340,2018,3,23-Jul-17,Ultrastructural Integrity of Human Capsulotomies Created by a Thermal Device.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29074029,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29074029&id=doi:10.1016%2Fj.ophtha.2017.09.018&issn=0161-6420&isbn=&volume=125&issue=3&spage=340&date=2018&title=Ophthalmology&atitle=Ultrastructural+Integrity+of+Human+Capsulotomies+Created+by+a+Thermal+Device.&aulast=Hooshmand&pid=%3CAN%3E29074029%3C%2FAN%3E,Vote,Brendan,J,l
1653,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Srinivasan,Kavitha,,f
1654,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Zebardast,Nazlee,,m
1655,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Krishnamurthy,Palaniswamy,,m
1656,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Abdul Kader,Mohideen,,m
1657,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Raman,Ganesh,V,m
1658,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Rajendrababu,Sharmila,,m
1659,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Venkatesh,Rengaraj,,m
1660,216,Ophthalmology,125,3,345,2018,3,16-Jun-17,Comparison of New Visual Disturbances after Superior versus Nasal/Temporal Laser Peripheral Iridotomy: A Prospective Randomized Trial.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096997,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096997&id=doi:10.1016%2Fj.ophtha.2017.09.015&issn=0161-6420&isbn=&volume=125&issue=3&spage=345&date=2018&title=Ophthalmology&atitle=Comparison+of+New+Visual+Disturbances+after+Superior+versus+Nasal%2FTemporal+Laser+Peripheral+Iridotomy%3A+A+Prospective+Randomized+Trial.&aulast=Srinivasan&pid=%3CAN%3E29096997%3C%2FAN%3E,Ramulu,Pradeep,Y,l
1661,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Wang,Mengyu,,f
1662,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Pasquale,Louis,R,m
1663,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Shen,Lucy,Q,m
1664,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Boland,Michael,V,m
1665,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Wellik,Sarah,R,m
1666,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,De Moraes,Carlos,Gustavo,m
1667,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Myers,Jonathan,S,m
1668,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Wang,Hui,,m
1669,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Baniasadi,Neda,,m
1670,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Li,Dian,,m
1671,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Silva,Rafaella,Nascimento E,m
1672,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Bex,Peter,J,m
1673,217,Ophthalmology,125,3,352,2018,3,29-May-17,Reversal of Glaucoma Hemifield Test Results and Visual Field Features in Glaucoma.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29103791,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29103791&id=doi:10.1016%2Fj.ophtha.2017.09.021&issn=0161-6420&isbn=&volume=125&issue=3&spage=352&date=2018&title=Ophthalmology&atitle=Reversal+of+Glaucoma+Hemifield+Test+Results+and+Visual+Field+Features+in+Glaucoma.&aulast=Wang&pid=%3CAN%3E29103791%3C%2FAN%3E,Elze,Tobias,,l
1674,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Linden,Christina,,f
1675,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Qvarlander,Sara,,m
1676,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Johannesson,Gauti,,m
1677,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Johansson,Elias,,m
1678,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Ostlund,Fanny,,m
1679,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Malm,Jan,,m
1680,218,Ophthalmology,125,3,361,2018,3,5-Jul-17,Normal-Tension Glaucoma Has Normal Intracranial Pressure: A Prospective Study of Intracranial Pressure and Intraocular Pressure in Different Body Positions.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=29096996,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29096996&id=doi:10.1016%2Fj.ophtha.2017.09.022&issn=0161-6420&isbn=&volume=125&issue=3&spage=361&date=2018&title=Ophthalmology&atitle=Normal-Tension+Glaucoma+Has+Normal+Intracranial+Pressure%3A+A+Prospective+Study+of+Intracranial+Pressure+and+Intraocular+Pressure+in+Different+Body+Positions.&aulast=Linden&pid=%3CAN%3E29096996%3C%2FAN%3E,Eklund,Anders,,l
1681,219,Ophthalmology,125,3,391,2018,3,24-Jul-17,Genetic Polymorphisms of CFH and ARMS2 Do Not Predict Response to Antioxidants and Zinc in Patients with Age-Related Macular Degeneration: Independent Statistical Evaluations of Data from the Age-Related Eye Disease Study.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medc&AN=29032853,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:29032853&id=doi:10.1016%2Fj.ophtha.2017.09.008&issn=0161-6420&isbn=&volume=125&issue=3&spage=391&date=2018&title=Ophthalmology&atitle=Genetic+Polymorphisms+of+CFH+and+ARMS2+Do+Not+Predict+Response+to+Antioxidants+and+Zinc+in+Patients+with+Age-Related+Macular+Degeneration%3A+Independent+Statistical+Evaluations+of+Data+from+the+Age-Related+Eye+Disease+Study.&aulast=Assel&pid=%3CAN%3E29032853%3C%2FAN%3E,Assel,Melissa,J,f
